Comment,Designator,Footprint,LCSC
100nF,"C10,C12,C16,C3,C6",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
MCP4651,U1,TSSOP-14_4.4x5mm_P0.65mm,C148010
AO3401A,"Q1,Q2",SOT-23,C15127
1uF,"C11,C14,C15,C2,C7,C8,C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
3.3nF,"C1,C5",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1613
10uF,"C13,C4",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C19702
AO3400A,Q3,SOT-23,C20917
1k,"R20,R4",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21190
150k,"R11,R14,R29,R9",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22807
4k7,"R1,R10,R18",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23162
100k,"R12,R13,R15,R16,R17,R21,R23,R25,R27,R28,R5,R7,R8",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25803
10k,"R19,R22,R26,R3,R6",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804
2k2,"R2,R24",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4190
G6K-2,K1,Relay_DPDT_Omron_G6K-2F-Y,C47190
SM4007PL,D3,D_SOD-123F,C64898
CD4052B,U3,SOIC-16_3.9x9.9mm_P1.27mm,C6521
LM324,U2,SOIC-14_3.9x8.7mm_P1.27mm,C71035
