Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,3.3nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,141.478,-82.296,180.0,top
C2,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,173.7215,-70.485,-90.0,top
C3,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,170.688,-77.724,90.0,top
C4,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,142.6425,-68.58,180.0,top
C5,3.3nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.2305,-85.598,180.0,top
C6,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,142.6425,-71.628,180.0,top
C7,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,159.258,-86.4605,-90.0,top
C8,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,159.0365,-81.3805,90.0,top
C9,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,147.828,-95.25,-90.0,top
C10,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.192,-75.5385,90.0,top
C11,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,142.6425,-70.109,0.0,top
C12,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,145.167,-79.95,180.0,top
C13,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.242,-68.834,0.0,top
C14,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,155.6015,-71.374,180.0,top
C15,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.10425,-70.405,-90.0,top
C16,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,153.67,-68.834,0.0,top
D3,SM4007PL,D_SOD-123F,134.43,-92.95,90.0,top
K1,G6K-2,Relay_DPDT_Omron_G6K-2F-Y,140.97,-92.89,0.0,top
Q1,AO3401A,SOT-23,150.622,-88.9,0.0,top
Q2,AO3401A,SOT-23,153.416,-94.742,0.0,top
Q3,AO3400A,SOT-23,131.9925,-87.056,0.0,top
R1,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,145.034,-82.042,180.0,top
R2,2k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,150.5185,-97.79,180.0,top
R3,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,145.542,-84.9865,-90.0,top
R4,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,148.59,-70.0005,-90.0,top
R5,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,172.1975,-70.485,90.0,top
R6,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,171.45,-80.264,180.0,top
R7,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,160.02,-77.47,0.0,top
R8,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,141.378,-80.518,0.0,top
R9,150k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,160.1235,-78.994,0.0,top
R10,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,151.384,-74.422,0.0,top
R11,150k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,162.80225,-70.3815,-90.0,top
R12,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,147.828,-74.422,180.0,top
R13,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,145.117,-78.486,180.0,top
R14,150k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,141.605,-77.216,0.0,top
R15,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,159.004,-72.7945,-90.0,top
R16,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,145.034,-75.438,-90.0,top
R17,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,164.32625,-70.405,90.0,top
R18,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.604,-80.4145,-90.0,top
R19,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,135.382,-80.4145,90.0,top
R20,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,151.13,-70.0005,-90.0,top
R21,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,153.416,-88.9,90.0,top
R22,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,156.3135,-87.63,0.0,top
R23,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,154.686,-85.598,180.0,top
R24,2k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,147.193,-89.154,90.0,top
R25,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,156.464,-78.0565,90.0,top
R26,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,137.922,-79.502,180.0,top
R27,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,157.2585,-81.3805,-90.0,top
R28,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,132.4845,-89.916,0.0,top
R29,150k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,170.6735,-70.485,90.0,top
U1,MCP4651,TSSOP-14_4.4x5mm_P0.65mm,135.382,-73.406,180.0,top
U2,LM324,SOIC-14_3.9x8.7mm_P1.27mm,150.7195,-79.99,270.0,top
U3,CD4052B,SOIC-16_3.9x9.9mm_P1.27mm,165.608,-80.772,270.0,top
